"DTI_CL_MES","Month","DTI_CL_ESTACIONES_METEO","DMC weather stations","Value","Flag Codes","Flags"
"2011-M07","2011 July","T001011","Quinta Normal",25.8,,
"2011-M07","2011 July","T001012","Arturo Merino Benítezl",24.8,,
"2011-M07","2011 July","T001014","Juan Fernández",16,,
"2011-M07","2011 July","T001015","Graneros",24.9,,
"2011-M07","2011 July","T001016","General Freire",16.6,,
"2011-M07","2011 July","T001017","Bernardo O'Higgins",15.6,,
"2011-M07","2011 July","T001018","Carriel Sur",17.8,,
"2011-M07","2011 July","T001019","Maquehue",15.1,,
"2011-M07","2011 July","T001020","Pichoy",14.4,,
"2011-M07","2011 July","T001021","Cañal Bajo",15.2,,
"2011-M07","2011 July","T001022","El Tepual",13.3,,
"2011-M07","2011 July","T001023","Teniente Vidal",12.3,,
"2011-M07","2011 July","T001024","Balmaceda",10.5,,
"2011-M07","2011 July","T001025","Pdte. Carlos Ibáñez",7,,
"2011-M07","2011 July","T001026","Eduardo Frei Montalva",-1.1,,
"2011-M08","2011 August","T001001","Chacalluta",19.2,,
"2011-M08","2011 August","T001002","Diego Aracena",19,,
"2011-M08","2011 August","T001003","Cerro Moreno",20.6,,
"2011-M08","2011 August","T001004","Mataveri",22.8,,
"2011-M08","2011 August","T001007","La Florida",25,,
"2011-M08","2011 August","T001009","Punta Ángeles",23.2,,
"2011-M08","2011 August","T001010","Jardín Botánico",23,,
"2011-M08","2011 August","T001011","Quinta Normal",29.8,,
"2011-M08","2011 August","T001012","Arturo Merino Benítezl",28.5,,
"2011-M08","2011 August","T001014","Juan Fernández",17.8,,
"2011-M08","2011 August","T001015","Graneros",28.3,,
"2011-M08","2011 August","T001016","General Freire",21.4,,
"2011-M08","2011 August","T001017","Bernardo O'Higgins",19.8,,
"2011-M08","2011 August","T001018","Carriel Sur",20.3,,
"2011-M08","2011 August","T001019","Maquehue",18,,
"2011-M08","2011 August","T001020","Pichoy",17.2,,
"2011-M08","2011 August","T001021","Cañal Bajo",18,,
"2011-M08","2011 August","T001022","El Tepual",15.8,,
"2011-M08","2011 August","T001023","Teniente Vidal",11.1,,
"2011-M08","2011 August","T001024","Balmaceda",8.7,,
"2011-M08","2011 August","T001025","Pdte. Carlos Ibáñez",8.4,,
"2011-M08","2011 August","T001026","Eduardo Frei Montalva",0.1,,
"2011-M09","2011 September","T001001","Chacalluta",20.4,,
"2011-M09","2011 September","T001002","Diego Aracena",18.9,,
"2011-M09","2011 September","T001003","Cerro Moreno",21.1,,
"2011-M09","2011 September","T001004","Mataveri",23.2,,
"2011-M09","2011 September","T001007","La Florida",19.6,,
"2011-M09","2011 September","T001009","Punta Ángeles",25.4,,
"2011-M09","2011 September","T001010","Jardín Botánico",30,,
"2011-M09","2011 September","T001011","Quinta Normal",31.2,,
"2011-M09","2011 September","T001012","Arturo Merino Benítezl",30.5,,
"2011-M09","2011 September","T001014","Juan Fernández",19.1,,
"2011-M09","2011 September","T001015","Graneros",30.1,,
"2011-M09","2011 September","T001016","General Freire",27.6,,
"2011-M09","2011 September","T001017","Bernardo O'Higgins",21.4,,
"2011-M09","2011 September","T001018","Carriel Sur",24.2,,
"2011-M09","2011 September","T001019","Maquehue",19.1,,
